'Elapsed time','ECG'
2.416,-0.287
2.420,-0.273
2.424,-0.273
2.428,-0.273
2.432,-0.280
2.436,-0.270
2.440,-0.273
2.444,-0.260
2.448,-0.235
2.452,-0.210
2.456,-0.177
2.460,-0.160
2.464,-0.130
2.468,-0.077
2.472,-0.035
2.476,0.018
2.480,0.072
2.484,0.122
2.488,0.168
2.492,0.205
2.496,0.237
2.500,0.260
2.504,0.275
2.508,0.265
2.512,0.237
2.516,0.210
2.520,0.177
2.524,0.125
2.528,0.065
2.532,0.010
2.536,-0.035
2.540,-0.077
2.544,-0.110
2.548,-0.128
2.552,-0.142
2.556,-0.160
2.560,-0.170
2.564,-0.200
2.568,-0.205
2.572,-0.205
2.576,-0.210
2.580,-0.223
2.584,-0.210
2.588,-0.210
2.592,-0.203
2.596,-0.223
2.600,-0.215
2.604,-0.223
2.608,-0.235
2.612,-0.225
2.616,-0.220
2.620,-0.212
2.624,-0.212
2.628,-0.215
2.632,-0.225
2.636,-0.228
2.640,-0.233
2.644,-0.230
2.648,-0.228
2.652,-0.217
2.656,-0.212
2.660,-0.220
2.664,-0.230
2.668,-0.233
2.672,-0.235
2.676,-0.240
2.680,-0.230
2.684,-0.217
2.688,-0.220
2.692,-0.220
2.696,-0.220
2.700,-0.237
2.704,-0.235
2.708,-0.235
2.712,-0.235
2.716,-0.228
2.720,-0.228
2.724,-0.228
2.728,-0.240
2.732,-0.233
2.736,-0.247
2.740,-0.253
2.744,-0.242
2.748,-0.230
2.752,-0.237
2.756,-0.233
2.760,-0.230
2.764,-0.240
2.768,-0.247
2.772,-0.247
2.776,-0.250
2.780,-0.233
2.784,-0.212
2.788,-0.212
2.792,-0.217
2.796,-0.220
2.800,-0.230
2.804,-0.230
2.808,-0.230
2.812,-0.215
2.816,-0.212
2.820,-0.203
2.824,-0.195
2.828,-0.205
2.832,-0.205
2.836,-0.215
2.840,-0.210
2.844,-0.185
2.848,-0.188
2.852,-0.160
2.856,-0.152
2.860,-0.150
2.864,-0.158
2.868,-0.160
2.872,-0.170
2.876,-0.155
2.880,-0.142
2.884,-0.125
2.888,-0.115
2.892,-0.125
2.896,-0.155
2.900,-0.180
2.904,-0.205
2.908,-0.205
2.912,-0.198
2.916,-0.190
2.920,-0.177
2.924,-0.177
2.928,-0.177
2.932,-0.198
2.936,-0.198
2.940,-0.223
2.944,-0.228
2.948,-0.233
2.952,-0.212
2.956,-0.203
2.960,-0.205
2.964,-0.207
2.968,-0.203
2.972,-0.205
2.976,-0.182
2.980,-0.168
2.984,-0.130
2.988,-0.050
2.992,0.048
2.996,0.175
3.000,0.347
3.004,0.600
3.008,0.902
3.012,1.205
3.016,1.455
3.020,1.663
3.024,1.800
3.028,1.845
3.032,1.725
3.036,1.390
3.040,0.873
3.044,0.265
3.048,-0.225
3.052,-0.458
3.056,-0.445
3.060,-0.290
3.064,-0.170
3.068,-0.122
3.072,-0.165
3.076,-0.225
3.080,-0.268
3.084,-0.292
3.088,-0.280
3.092,-0.278
3.096,-0.270
3.100,-0.280
3.104,-0.280
3.108,-0.290
3.112,-0.295
3.116,-0.290
3.120,-0.300
3.124,-0.290
3.128,-0.300
3.132,-0.305
3.136,-0.307
3.140,-0.320
3.144,-0.318
3.148,-0.318
3.152,-0.310
3.156,-0.320
3.160,-0.318
3.164,-0.320
3.168,-0.323
3.172,-0.328
3.176,-0.318
3.180,-0.302
3.184,-0.305
3.188,-0.297
3.192,-0.302
3.196,-0.312
3.200,-0.320
3.204,-0.312
3.208,-0.318
3.212,-0.292
3.216,-0.270
3.220,-0.255
3.224,-0.223
3.228,-0.198
3.232,-0.160
3.236,-0.125
3.240,-0.077
3.244,-0.035
3.248,0.020
3.252,0.080
3.256,0.120
3.260,0.165
3.264,0.200
3.268,0.220
3.272,0.228
3.276,0.225
3.280,0.225
3.284,0.220
3.288,0.188
3.292,0.142
3.296,0.080
3.300,0.018
3.304,-0.030
3.308,-0.077
3.312,-0.113
3.316,-0.130
3.320,-0.145
3.324,-0.160
3.328,-0.185
3.332,-0.212
3.336,-0.228
3.340,-0.228
3.344,-0.240
3.348,-0.242
3.352,-0.228
3.356,-0.235
3.360,-0.242
3.364,-0.247
3.368,-0.265
3.372,-0.268
3.376,-0.263
3.380,-0.258
3.384,-0.258
3.388,-0.250
3.392,-0.247
3.396,-0.260
3.400,-0.268
3.404,-0.268
3.408,-0.268
3.412,-0.260
3.416,-0.245
3.420,-0.242
3.424,-0.240
3.428,-0.247
3.432,-0.250
3.436,-0.265
3.440,-0.273
3.444,-0.263
3.448,-0.263
3.452,-0.258
3.456,-0.255
3.460,-0.268
3.464,-0.278
3.468,-0.282
3.472,-0.292
3.476,-0.285
3.480,-0.287
3.484,-0.273
3.488,-0.270
3.492,-0.280
3.496,-0.280
3.500,-0.275
3.504,-0.278
3.508,-0.275
3.512,-0.282
3.516,-0.260
3.520,-0.265
3.524,-0.260
3.528,-0.268
3.532,-0.273
3.536,-0.285
3.540,-0.275
3.544,-0.265
3.548,-0.258
3.552,-0.263
3.556,-0.255
3.560,-0.250
3.564,-0.253
3.568,-0.253
3.572,-0.250
3.576,-0.253
3.580,-0.228
3.584,-0.215
3.588,-0.195
3.592,-0.182
3.596,-0.172
3.600,-0.175
3.604,-0.182
3.608,-0.190
3.612,-0.177
3.616,-0.163
3.620,-0.138
3.624,-0.098
3.628,-0.115
3.632,-0.113
3.636,-0.128
3.640,-0.145
3.644,-0.172
3.648,-0.177
3.652,-0.193
3.656,-0.198
3.660,-0.198
3.664,-0.195
3.668,-0.203
3.672,-0.195
3.676,-0.210
3.680,-0.215
3.684,-0.215
3.688,-0.230
3.692,-0.245
3.696,-0.240
3.700,-0.245
3.704,-0.253
3.708,-0.247
3.712,-0.220
3.716,-0.210
3.720,-0.195
3.724,-0.185
3.728,-0.177
3.732,-0.165
3.736,-0.100
3.740,0.018
3.744,0.180
3.748,0.388
3.752,0.690
3.756,1.005
3.760,1.320
3.764,1.567
3.768,1.750
3.772,1.830
3.776,1.782
3.780,1.528
3.784,1.062
3.788,0.455
3.792,-0.120
3.796,-0.475
3.800,-0.537
3.804,-0.398
3.808,-0.235
3.812,-0.145
3.816,-0.138
3.820,-0.190
3.824,-0.255
3.828,-0.282
3.832,-0.292
3.836,-0.300
3.840,-0.292
3.844,-0.287
3.848,-0.292
3.852,-0.270
3.856,-0.280
3.860,-0.285
3.864,-0.300
3.868,-0.300
3.872,-0.295
3.876,-0.307
3.880,-0.297
3.884,-0.300
3.888,-0.292
3.892,-0.292
3.896,-0.310
3.900,-0.330
3.904,-0.328
3.908,-0.310
3.912,-0.307
3.916,-0.307
3.920,-0.307
3.924,-0.307
3.928,-0.305
3.932,-0.307
3.936,-0.307
3.940,-0.307
3.944,-0.292
3.948,-0.282
3.952,-0.278
3.956,-0.282
3.960,-0.273
3.964,-0.270
3.968,-0.250
3.972,-0.235
3.976,-0.205
3.980,-0.150
3.984,-0.095
3.988,-0.048
3.992,-0.003
3.996,0.033
4.000,0.070
4.004,0.113
4.008,0.155
4.012,0.207
4.016,0.237
4.020,0.265
4.024,0.278
4.028,0.242
4.032,0.215
4.036,0.175
4.040,0.128
4.044,0.085
4.048,0.058
4.052,0.010
4.056,-0.018
4.060,-0.058
4.064,-0.087
4.068,-0.130
4.072,-0.150
4.076,-0.163
4.080,-0.170
4.084,-0.172
4.088,-0.190
4.092,-0.195
4.096,-0.198
4.100,-0.217
4.104,-0.228
4.108,-0.217
4.112,-0.212
4.116,-0.203
4.120,-0.203
4.124,-0.210
4.128,-0.223
4.132,-0.233
4.136,-0.233
4.140,-0.245
4.144,-0.253
4.148,-0.233
4.152,-0.223
4.156,-0.230
4.160,-0.235
4.164,-0.230
4.168,-0.237
4.172,-0.250
4.176,-0.247
4.180,-0.235
4.184,-0.235
4.188,-0.233
4.192,-0.235
4.196,-0.258
4.200,-0.258
4.204,-0.255
4.208,-0.260
4.212,-0.255
4.216,-0.253
4.220,-0.242
4.224,-0.247
4.228,-0.247
4.232,-0.260
4.236,-0.255
4.240,-0.255
4.244,-0.265
4.248,-0.255
4.252,-0.242
4.256,-0.250
4.260,-0.240
4.264,-0.258
4.268,-0.245
4.272,-0.253
4.276,-0.247
4.280,-0.233
4.284,-0.223
4.288,-0.237
4.292,-0.240
4.296,-0.245
4.300,-0.247
4.304,-0.230
4.308,-0.245
4.312,-0.230
4.316,-0.228
4.320,-0.217
4.324,-0.207
4.328,-0.223
4.332,-0.233
4.336,-0.228
4.340,-0.233
4.344,-0.228
4.348,-0.205
4.352,-0.182
4.356,-0.170
4.360,-0.168
4.364,-0.175
4.368,-0.175
4.372,-0.163
4.376,-0.170
4.380,-0.145
4.384,-0.122
4.388,-0.095
4.392,-0.102
4.396,-0.105
4.400,-0.120
4.404,-0.142
4.408,-0.175
4.412,-0.175
4.416,-0.185
4.420,-0.175
4.424,-0.185
4.428,-0.182
4.432,-0.195
4.436,-0.220
4.440,-0.220
4.444,-0.240
4.448,-0.235
4.452,-0.235
4.456,-0.217
4.460,-0.230
4.464,-0.220
4.468,-0.223
4.472,-0.233
4.476,-0.228
4.480,-0.203
4.484,-0.200
4.488,-0.180
4.492,-0.160
4.496,-0.095
4.500,-0.007
4.504,0.130
4.508,0.340
4.512,0.605
4.516,0.917
4.520,1.248
4.524,1.522
4.528,1.720
4.532,1.808
4.536,1.722
4.540,1.417
4.544,0.900
4.548,0.242
4.552,-0.302
4.556,-0.565
4.560,-0.542
4.564,-0.370
4.568,-0.223
4.572,-0.160
4.576,-0.188
4.580,-0.245
4.584,-0.297
4.588,-0.300
4.592,-0.295
4.596,-0.300
4.600,-0.300
4.604,-0.310
4.608,-0.312
4.612,-0.312
4.616,-0.315
4.620,-0.312
4.624,-0.310
4.628,-0.312
4.632,-0.318
4.636,-0.333
4.640,-0.343
4.644,-0.343
4.648,-0.340
4.652,-0.320
4.656,-0.318
4.660,-0.330
4.664,-0.335
4.668,-0.335
4.672,-0.347
4.676,-0.340
4.680,-0.340
4.684,-0.318
4.688,-0.320
4.692,-0.318
4.696,-0.328
4.700,-0.333
4.704,-0.340
4.708,-0.333
4.712,-0.325
4.716,-0.330
4.720,-0.292
4.724,-0.290
4.728,-0.273
4.732,-0.255
4.736,-0.233
4.740,-0.200
4.744,-0.142
4.748,-0.080
4.752,-0.022
4.756,0.025
4.760,0.068
4.764,0.105
4.768,0.145
4.772,0.175
4.776,0.203
4.780,0.217
4.784,0.212
4.788,0.200
4.792,0.170
4.796,0.122
4.800,0.072
4.804,0.018
4.808,-0.018
4.812,-0.052
4.816,-0.070
4.820,-0.115
4.824,-0.147
4.828,-0.160
4.832,-0.188
4.836,-0.198
4.840,-0.217
4.844,-0.220
4.848,-0.210
4.852,-0.212
4.856,-0.217
4.860,-0.230
4.864,-0.230
4.868,-0.237
4.872,-0.250
4.876,-0.242
4.880,-0.230
4.884,-0.220
4.888,-0.210
4.892,-0.225
4.896,-0.233
4.900,-0.242
4.904,-0.250
4.908,-0.242
4.912,-0.233
4.916,-0.235
4.920,-0.230
4.924,-0.235
4.928,-0.235
4.932,-0.245
4.936,-0.250
4.940,-0.250
4.944,-0.245
4.948,-0.247
4.952,-0.230
4.956,-0.230
4.960,-0.245
4.964,-0.242
4.968,-0.255
4.972,-0.255
4.976,-0.260
4.980,-0.245
4.984,-0.250
4.988,-0.250
4.992,-0.245
4.996,-0.250
5.000,-0.245
5.004,-0.253
5.008,-0.263
5.012,-0.255
5.016,-0.237
5.020,-0.230
5.024,-0.233
5.028,-0.240
5.032,-0.245
5.036,-0.250
5.040,-0.255
5.044,-0.247
5.048,-0.230
5.052,-0.235
5.056,-0.233
5.060,-0.225
5.064,-0.242
5.068,-0.228
5.072,-0.240
5.076,-0.237
5.080,-0.223
5.084,-0.210
5.088,-0.200
5.092,-0.195
5.096,-0.205
5.100,-0.198
5.104,-0.188
5.108,-0.172
5.112,-0.147
5.116,-0.122
5.120,-0.120
5.124,-0.128
5.128,-0.145
5.132,-0.163
5.136,-0.150
5.140,-0.138
5.144,-0.098
5.148,-0.075
5.152,-0.058
5.156,-0.065
5.160,-0.087
5.164,-0.120
5.168,-0.138
5.172,-0.170
5.176,-0.190
5.180,-0.170
5.184,-0.160
5.188,-0.175
5.192,-0.170
5.196,-0.195
5.200,-0.235
5.204,-0.237
5.208,-0.233
5.212,-0.223
5.216,-0.207
5.220,-0.193
5.224,-0.200
5.228,-0.188
5.232,-0.195
5.236,-0.188
5.240,-0.180
5.244,-0.155
5.248,-0.102
5.252,-0.022
5.256,0.087
5.260,0.233
5.264,0.438
5.268,0.710
5.272,1.015
5.276,1.295
5.280,1.520
5.284,1.695
5.288,1.792
5.292,1.798
5.296,1.627
5.300,1.280
5.304,0.762
5.308,0.163
5.312,-0.315
5.316,-0.525
5.320,-0.500
5.324,-0.325
5.328,-0.182
5.332,-0.140
5.336,-0.165
5.340,-0.247
5.344,-0.287
5.348,-0.295
5.352,-0.287
5.356,-0.290
5.360,-0.278
5.364,-0.287
5.368,-0.295
5.372,-0.310
5.376,-0.307
5.380,-0.300
5.384,-0.307
5.388,-0.302
5.392,-0.302
5.396,-0.310
5.400,-0.320
5.404,-0.320
5.408,-0.320
5.412,-0.312
5.416,-0.318
5.420,-0.315
5.424,-0.328
5.428,-0.335
5.432,-0.338
5.436,-0.350
5.440,-0.343
5.444,-0.343
5.448,-0.333
5.452,-0.330
5.456,-0.328
5.460,-0.328
5.464,-0.338
5.468,-0.340
5.472,-0.335
5.476,-0.340
5.480,-0.333
5.484,-0.312
5.488,-0.285
5.492,-0.280
5.496,-0.265
5.500,-0.240
5.504,-0.225
5.508,-0.182
5.512,-0.152
5.516,-0.113
5.520,-0.075
5.524,-0.018
5.528,0.020
5.532,0.060
5.536,0.105
5.540,0.138
5.544,0.168
5.548,0.205
5.552,0.237
5.556,0.250
5.560,0.245
5.564,0.240
5.568,0.210
5.572,0.172
5.576,0.135
5.580,0.095
5.584,0.037
5.588,-0.005
5.592,-0.052
5.596,-0.098
5.600,-0.135
5.604,-0.150
5.608,-0.175
5.612,-0.188
5.616,-0.193
5.620,-0.190
5.624,-0.203
5.628,-0.215
5.632,-0.225
5.636,-0.217
5.640,-0.223
5.644,-0.223
5.648,-0.220
5.652,-0.212
5.656,-0.220
5.660,-0.223
5.664,-0.233
5.668,-0.240
5.672,-0.237
5.676,-0.237
5.680,-0.217
5.684,-0.220
5.688,-0.210
5.692,-0.217
5.696,-0.225
5.700,-0.240
5.704,-0.237
5.708,-0.235
5.712,-0.225
5.716,-0.223
5.720,-0.220
5.724,-0.217
5.728,-0.230
5.732,-0.240
5.736,-0.240
5.740,-0.237
5.744,-0.233
5.748,-0.230
5.752,-0.225
5.756,-0.237
5.760,-0.240
5.764,-0.235
5.768,-0.258
5.772,-0.240
5.776,-0.245
5.780,-0.237
5.784,-0.235
5.788,-0.223
5.792,-0.230
5.796,-0.245
5.800,-0.250
5.804,-0.250
5.808,-0.242
5.812,-0.237
5.816,-0.225
5.820,-0.225
5.824,-0.230
5.828,-0.220
5.832,-0.230
5.836,-0.233
5.840,-0.237
5.844,-0.233
5.848,-0.223
5.852,-0.220
5.856,-0.212
5.860,-0.207
5.864,-0.220
5.868,-0.215
5.872,-0.233
5.876,-0.225
5.880,-0.215
5.884,-0.203
5.888,-0.200
5.892,-0.198
5.896,-0.207
5.900,-0.210
5.904,-0.207
5.908,-0.193
5.912,-0.180
5.916,-0.168
5.920,-0.160
5.924,-0.165
5.928,-0.177
5.932,-0.168
5.936,-0.170
5.940,-0.150
5.944,-0.147
5.948,-0.140
5.952,-0.150
5.956,-0.155
5.960,-0.195
5.964,-0.212
5.968,-0.217
5.972,-0.200
5.976,-0.195
5.980,-0.180
5.984,-0.175
5.988,-0.180
5.992,-0.177
5.996,-0.205
6.000,-0.217
6.004,-0.233
6.008,-0.217
6.012,-0.207
6.016,-0.198
6.020,-0.185
6.024,-0.190
6.028,-0.182
6.032,-0.185
6.036,-0.160
6.040,-0.120
6.044,-0.037
6.048,0.058
6.052,0.210
6.056,0.425
6.060,0.693
6.064,0.990
6.068,1.262
6.072,1.500
6.076,1.673
6.080,1.788
6.084,1.788
6.088,1.590
6.092,1.173
6.096,0.598
6.100,0.000
6.104,-0.388
6.108,-0.537
6.112,-0.430
6.116,-0.260
6.120,-0.147
6.124,-0.165
6.128,-0.217
6.132,-0.278
6.136,-0.320
6.140,-0.330
6.144,-0.318
6.148,-0.302
6.152,-0.290
6.156,-0.290
6.160,-0.290
6.164,-0.318
6.168,-0.338
6.172,-0.338
6.176,-0.340
6.180,-0.350
6.184,-0.343
6.188,-0.338
6.192,-0.340
6.196,-0.352
6.200,-0.347
6.204,-0.372
6.208,-0.362
6.212,-0.360
6.216,-0.352
6.220,-0.357
6.224,-0.345
6.228,-0.360
6.232,-0.370
6.236,-0.375
6.240,-0.372
6.244,-0.370
6.248,-0.350
6.252,-0.355
6.256,-0.355
6.260,-0.355
6.264,-0.355
6.268,-0.352
6.272,-0.325
6.276,-0.300
6.280,-0.258
6.284,-0.215
6.288,-0.185
6.292,-0.142
6.296,-0.115
6.300,-0.052
6.304,-0.013
6.308,0.040
